Column1,reform,district,population,child_population,young_child_population,metric_name,metric_value,mappable_measures.current|new|change,mappable_measures.demog,mappable_measures.pov|deep_pov,monthly_benefit,target_demog
47,"All Children 100","028",153445.79015279879,36302.886635973045,8134.7281513871967,"child_deep_pov_change",0,"change in","child","deep_pov","100","All Children"
81,"All Children 200","008",131122.27886295505,27579.985376932043,8905.3861816061562,"young_child_pov_change",0,"change in","young_child","pov","200","All Children"
84,"All Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"total_deep_pov_change",0,"change in","total","deep_pov","200","All Children"
84,"All Children 200","013",148745.83789038018,36389.271209665174,9943.9343175790709,"child_deep_pov_change",0,"change in","child","deep_pov","200","All Children"
85,"All Children 200","031",145270.88316427977,32619.544246425525,9982.382059260528,"young_child_pov_change",0,"change in","young_child","pov","200","All Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_pov_change",0,"change in","total","pov","100","Young Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"child_pov_change",0,"change in","child","pov","100","Young Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
99,"Young Children 100","036",137998.50638469058,27920.790532813553,6638.5901737524446,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
104,"Young Children 100","023",133548.15767913003,27862.335125054648,6988.339586682655,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
104,"Young Children 100","023",133548.15767913003,27862.335125054648,6988.339586682655,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
105,"Young Children 100","024",130034.15953075975,28421.306083763156,7178.4315357458217,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
105,"Young Children 100","024",130034.15953075975,28421.306083763156,7178.4315357458217,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
106,"Young Children 100","004",148118.0657334245,34677.090763515211,8386.1615958809634,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
106,"Young Children 100","004",148118.0657334245,34677.090763515211,8386.1615958809634,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
107,"Young Children 100","005",137093.76127801463,28591.270748825431,6856.0700265040568,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
107,"Young Children 100","005",137093.76127801463,28591.270748825431,6856.0700265040568,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
108,"Young Children 100","009",151926.23747424368,35147.859860699609,8316.4453361316409,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
108,"Young Children 100","009",151926.23747424368,35147.859860699609,8316.4453361316409,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
110,"Young Children 100","045",117771.95295508276,24269.640233569524,7359.3565844502846,"total_pov_change",0,"change in","total","pov","100","Young Children"
110,"Young Children 100","045",117771.95295508276,24269.640233569524,7359.3565844502846,"child_pov_change",0,"change in","child","pov","100","Young Children"
110,"Young Children 100","045",117771.95295508276,24269.640233569524,7359.3565844502846,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
110,"Young Children 100","045",117771.95295508276,24269.640233569524,7359.3565844502846,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
110,"Young Children 100","045",117771.95295508276,24269.640233569524,7359.3565844502846,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
114,"Young Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"total_pov_change",0,"change in","total","pov","100","Young Children"
114,"Young Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"child_pov_change",0,"change in","child","pov","100","Young Children"
114,"Young Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"young_child_pov_change",0,"change in","young_child","pov","100","Young Children"
114,"Young Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
114,"Young Children 100","035",138772.6739831373,29334.717660360671,7224.587102113348,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
123,"Young Children 100","014",141946.04743803211,34745.048265983918,8938.4926896043617,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
123,"Young Children 100","014",141946.04743803211,34745.048265983918,8938.4926896043617,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
124,"Young Children 100","020",141302.71815447757,32011.985805741428,10487.595621680797,"total_deep_pov_change",0,"change in","total","deep_pov","100","Young Children"
124,"Young Children 100","020",141302.71815447757,32011.985805741428,10487.595621680797,"child_deep_pov_change",0,"change in","child","deep_pov","100","Young Children"
