,reform,district,total_pov_change,child_pov_change,young_child_pov_change,total_deep_pov_change,child_deep_pov_change,young_child_deep_pov_change,population,child_population,young_child_population,total_pov_rate,child_pov_rate,young_child_pov_rate,new_total_pov_rate,new_child_pov_rate,new_young_child_pov_rate,total_deep_pov_rate,child_deep_pov_rate,young_child_deep_pov_rate,new_total_deep_pov_rate,new_child_deep_pov_rate,new_young_child_deep_pov_rate
20,All Children 100,018,-16.2,-22.5,-28.0,-20.1,-39.7,-56.0,141525.8510196117,33389.856048763984,10139.888772464239,17.741666391316887,22.6868537759755,27.844863864462226,14.859982732529534,17.572382117603627,20.04040518109799,0.04808267803824196,0.051418642786256574,0.027480587081879296,0.03843267077829751,0.030994007947543385,0.012083385194442249
21,All Children 100,019,-15.3,-19.4,-22.5,-27.3,-53.0,-69.0,150024.3023403057,36756.84048023443,11018.291570962498,18.448607318580173,23.878725618051984,31.942870421616977,15.625455759802287,19.254663086015984,24.771386236017616,0.04643480165995999,0.04891929809320609,0.03286792687894611,0.033760805685817616,0.022977356290996193,0.010199665971437474
22,All Children 100,039,-5.6,-7.5,-10.5,-8.2,-31.2,-39.6,125782.827895456,28604.806028785453,8018.627729403648,9.626540030318413,13.844869744267887,10.892420251753753,9.083030534351556,12.80363372922383,9.750935793232793,0.029765043614429377,0.022815792328386684,0.0598164587661648,0.027337890625099014,0.015693470422434463,0.036151163207429726
23,All Children 100,027,-6.6,-9.4,-17.2,-5.5,-8.7,-43.1,149478.66811975132,33012.956909311855,7724.560793892246,9.070221099683566,11.985250527332035,13.056209295263763,8.472548896415038,10.8557975756572,10.815801482911432,0.031809498390508346,0.048409865443049815,0.041830587617565605,0.03006623208660589,0.04419376621136888,0.02381197064054358
24,All Children 100,029,-2.3,-2.9,-5.4,-7.5,-9.8,-45.5,145298.59229879008,33493.22789802034,7307.352894307185,8.495229388223377,11.412240454156624,9.659597219746924,8.297144803416732,11.085620965860489,9.142755302085188,0.0445331791679551,0.07875806827902637,0.07806095170201388,0.041185460053688984,0.07100085543199317,0.04250579219390482
25,All Children 100,014,-6.1,-10.3,-9.0,-9.8,-28.8,-44.7,141946.0474380321,34745.04826598392,8938.492689604362,11.097748013477153,13.733999978829733,21.21057977728223,10.415740738193486,12.326181925676046,19.299962085315617,0.03098600431633533,0.019416320192332644,0.02413085331737054,0.027935194762745003,0.013830814577280443,0.013337104018598113
26,All Children 100,020,-12.5,-27.4,-23.0,-2.8,-7.1,-19.3,141302.71815447757,32011.985805741428,10487.595621680797,18.061915420361878,19.341005283375043,20.633639299210834,15.79609691292932,14.036604978020058,15.887172197523928,0.05470714243952992,0.04303365127812781,0.024061060063026645,0.053163792888426056,0.03998070465720584,0.019428328920148005
27,All Children 100,003,-11.4,-24.0,-9.4,-1.1,-3.7,0.0,140518.83013425834,30562.05982737942,8474.619413160095,11.005673178728506,13.211030239492704,14.637796378131599,9.747409966607092,10.04388257644878,13.264715263490082,0.031819954540972036,0.029769987708947933,0.02200441416173493,0.03147082081833083,0.028661598189589046,0.02200441416173493
28,All Children 100,010,-24.8,-37.7,-36.2,-15.0,-31.1,-100.0,130559.54700365491,29764.686280670492,8255.413412128444,15.177956915306048,16.71475138989402,16.478835386612538,11.410186746442731,10.420948260528943,10.51172241545586,0.034574072228122345,0.035910762460068024,0.013498999119886276,0.02939661452614208,0.024732277497503605,0.0
29,All Children 100,012,-13.3,-38.4,-72.4,-10.0,-29.6,0.0,130908.08116763597,30119.172576573583,8139.57585812543,9.125785759119509,9.124857113809952,10.981960187886273,7.914598732403554,5.618049443115961,3.026425040857733,0.033265795596886576,0.01126651147198068,0.007040058455805326,0.02992862345748811,0.007928179804868754,0.007040058455805326
30,All Children 100,044,-10.8,-28.2,-43.7,-12.1,-27.6,-19.4,117785.24830688488,26235.511256030055,7311.2666970359005,15.558040335415374,18.568518845961655,21.859474884681493,13.874931878502725,13.338568605468149,12.297950021916476,0.054681020817840244,0.04028765240308778,0.026027590356995655,0.04807019996134404,0.029180186388068678,0.020978051365483114
31,All Children 100,006,-7.6,-2.9,0.0,-16.7,-30.0,-11.4,125611.7874249458,26627.900369576055,6495.668314121458,15.173866692253684,14.15781584874165,9.59892051711722,14.02239810763487,13.749978016795888,9.59892051711722,0.05417839157404414,0.07383073456362595,0.0368880221750491,0.04514856453401522,0.05165924627398695,0.032699866035225976
32,All Children 100,008,0.0,0.0,0.0,-7.3,-29.1,-33.8,131122.27886295505,27579.985376932043,8905.386181606156,14.388254811159019,15.57067050759926,32.231368777499995,14.388254811159019,15.57067050759926,32.231368777499995,0.060281635284140496,0.04383401968539787,0.06947652882701924,0.05590544904309662,0.031057229083178806,0.04596198918387214
33,All Children 100,042,0.0,0.0,0.0,-7.0,-17.5,-4.9,131511.08893079936,27892.91390160102,7397.141166917899,10.915223217817072,11.101954795899454,9.439025178554457,10.915223217817072,11.101954795899454,9.439025178554457,0.057776944454259425,0.05202341960301566,0.0604556400185236,0.0537284650468775,0.04294235652442699,0.05747767542735527
34,All Children 100,001,-12.1,-29.3,-55.3,0.0,0.0,0.0,114170.96362899712,21238.114213837565,5578.435272971896,11.08535565860097,11.005014709458207,15.924933955160636,9.745103475367051,7.783207608339956,7.111238531541858,0.04137211672147138,0.042089366598234514,0.013969078277108646,0.04137211672147138,0.042089366598234514,0.013969078277108646
35,All Children 100,013,-6.2,-14.1,-9.7,0.0,0.0,0.0,148745.83789038018,36389.271209665174,9943.934317579071,7.999514445240397,7.100556394432579,7.092252575369754,7.506714711929718,6.097014413680293,6.404511139766933,0.027692324216020425,0.01242663893504158,0.025372985002822496,0.027692324216020425,0.01242663893504158,0.025372985002822496
36,All Children 100,031,0.0,0.0,0.0,-1.1,-2.5,0.0,145270.88316427977,32619.544246425525,9982.382059260528,7.4633238657956475,7.158132330192994,3.7178120853448333,7.4633238657956475,7.158132330192994,3.7178120853448333,0.02718229836588012,0.030199825126899955,0.021421208957119478,0.026869979608382888,0.02943061023227301,0.021421208957119478
37,All Children 100,032,-6.8,-15.4,-50.4,-0.6,-2.2,0.0,156224.75947178405,34893.13420019191,9381.886953436315,5.891799154951797,6.29867092492698,5.277852087269822,5.488319773221913,5.331253519345753,2.617179672535701,0.019281879041347354,0.013773803954014244,0.011010545228861543,0.019157056692656053,0.013464738002749513,0.011010545228861543
38,All Children 100,011,-11.4,-19.5,-22.1,-9.8,-32.7,-100.0,133963.79563157394,29444.971972330313,6855.220284896709,10.981002457370936,10.977969071335979,10.357770495969328,9.72602408838924,8.838042164601184,8.069308737089486,0.033230880988720415,0.023232966020200772,0.013676338005645352,0.029961741111215783,0.01562622963439931,0.0
39,All Children 100,025,-25.5,-51.4,-46.2,-4.0,-27.6,0.0,126097.64789268172,26867.999196267705,6875.930336358478,14.216235814700642,21.174346203795835,17.791281268899837,10.587590854743363,10.283717110414022,9.565311064127894,0.02839671105752708,0.01211817873398277,0.004468805002240771,0.027261856811733272,0.00877531506770098,0.004468805002240771
40,All Children 100,026,-11.2,-35.4,-18.6,0.0,0.0,0.0,127742.05797427213,24824.052780939528,6997.055186839021,12.882211555112386,9.74373592487523,10.270612788800946,11.433047123851575,6.291252765298237,8.363309445572623,0.04053874404331779,0.01661204124876037,0.009190221680425163,0.04053874404331779,0.01661204124876037,0.009190221680425163
41,All Children 100,041,-3.4,-10.0,-5.1,-2.3,-5.9,-2.0,112002.38869914619,23320.69949570873,7424.021401765578,25.027279628215997,29.874722660855426,25.540515867267256,24.166738285241966,26.88382910079875,24.230121432520036,0.0922229004499366,0.09595695528223344,0.08558938625077585,0.09006467684554588,0.09029958509561184,0.08391332223132686
42,All Children 100,002,-18.2,-34.0,-66.3,0.0,0.0,0.0,133897.03637100285,29704.885786162435,7834.564727028104,9.380149825029054,9.82243267238828,6.530520646319568,7.668520330114043,6.487126368748151,2.1992818671454217,0.03201344617263363,0.03228765907073099,0.01570915619389587,0.03201344617263363,0.03228765907073099,0.01570915619389587
43,All Children 100,047,-15.4,-29.4,-27.2,-5.4,-12.1,-13.4,131027.71179840367,35275.61925455575,12631.548778848854,21.427605892727534,26.86329031772165,23.80035342382769,18.137754083009,18.96513676388979,17.317271555073948,0.05764142968809204,0.057176222588547196,0.06350147127615494,0.054527297601346454,0.05027681921504879,0.054973883725100266
44,All Children 100,043,-3.7,-9.3,-4.5,-1.5,-6.6,0.0,111884.09461572432,21848.45846006528,6911.1266498892,19.912568525246208,23.37479592266474,23.205487671701462,19.17062854864218,21.20924207225434,22.150297448810655,0.07002328617313476,0.06695144453603576,0.07807527822801845,0.06895117949685993,0.0625633183876343,0.07807527822801845
45,All Children 100,030,-33.9,-68.2,-80.2,-0.4,-1.4,,133756.55459118503,28419.482580628835,8782.284245904804,8.219408937833592,13.778187245009521,7.692828801285224,5.436014951739038,4.388267070089954,1.5213163058094394,0.015860517866567787,0.010231180269567874,0.0,0.015804790598712287,0.010086130986367976,0.0
46,All Children 100,033,-14.2,-40.5,-64.6,-2.9,-20.5,0.0,145629.0160642016,33012.007005937645,8479.474456595934,4.8481123400411335,4.951399731277163,4.161879749681359,4.15740881716198,2.946286530306765,1.4726086284483333,0.013956536649095243,0.004869379144032104,0.0018980167044652873,0.013546762888781125,0.003869680597610845,0.0018980167044652873
47,All Children 100,028,-9.0,-15.1,0.0,0.0,0.0,0.0,153445.79015279879,36302.886635973045,8134.728151387197,9.070925974816056,11.212459366357768,8.541734329327703,8.25135733881243,9.519188782688856,8.541734329327703,0.02436896658593418,0.015186065693076511,0.015914257875933743,0.02436896658593418,0.015186065693076511,0.015914257875933743
48,All Children 100,038,-6.1,-18.6,-23.7,-10.0,-26.9,-45.6,129652.98299008676,26979.170409235296,6765.31757045423,12.38682441815253,12.257754524584913,9.846710666382798,11.632505693495528,9.972772409374835,7.5154353842878425,0.0685941232016886,0.07233997117078639,0.047583563977006596,0.06176192856746098,0.05288025198868186,0.025867575047902918
49,All Children 200,Maryland,-16.5,-34.8,-32.1,-15.7,-45.0,-46.7,6319406.000000001,1390540.0,376011.0,12.544612579093666,14.826470292116731,15.847940618758493,10.478817154650292,9.66595711018741,10.758993752842336,0.04102490012510669,0.038308858429099486,0.035501620963216504,0.034577142218746505,0.021065197692982582,0.01891699976862379
50,All Children 200,036,-9.4,-27.8,-12.8,-13.2,-14.1,0.0,137998.50638469058,27920.790532813553,6638.590173752445,8.983726420072358,7.038024547746289,4.816016154913435,8.139394558959783,5.082506625768929,4.19980193472983,0.02685236008596517,0.01827459032000423,0.0036478072265690824,0.023305511017315914,0.015691312765129903,0.0036478072265690824
51,All Children 200,037,-9.2,-27.3,-15.0,-14.3,-55.0,-40.8,131847.5727120465,26621.154768906068,6302.777533124193,9.885305409837956,8.952350118263244,6.496865305783252,8.979945292910312,6.507234574086597,5.5245666104428635,0.037962840579996396,0.03666915913050692,0.022207048711694356,0.03251691026954064,0.016487265874848413,0.013150019768797585
52,All Children 200,ZZZ,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,
53,All Children 200,021,-16.6,-33.7,-27.8,-6.0,-25.6,-29.2,136305.6112242434,30624.509722630184,10004.392169817478,13.093740545616795,15.444562895545555,20.46799044509867,10.916197593201312,10.23870724006824,14.770778064421,0.04092506084165775,0.027037487248188802,0.030523787229626995,0.03846304242182694,0.020125563246192447,0.021606626812250923
54,All Children 200,022,-27.9,-49.0,-40.6,-5.7,-13.9,-9.8,136174.3900377187,33567.93836029987,11379.632850923492,17.814388636980187,24.96280609540175,23.77441546537184,12.838617347706288,12.742198699483762,14.130124655307338,0.04470975660002567,0.045247867684207944,0.06205397071608618,0.042139983805195264,0.03894921735586366,0.05595303852696498
55,All Children 200,023,-35.3,-76.6,-41.4,-2.0,-14.9,0.0,133548.15767913003,27862.335125054648,6988.339586682655,8.282066474290678,13.204033501749022,9.534591348313306,5.357012472068454,3.086267936463064,5.584648425845762,0.020635405268522297,0.006254186364870884,0.0053736600714453815,0.020227695326103717,0.005323388671433622,0.0053736600714453815
56,All Children 200,024,-39.4,-73.7,-66.8,-5.6,-38.7,0.0,130034.15953075975,28421.306083763156,7178.431535745822,15.421856382161264,24.75312731183137,20.25789127487453,9.343718954415033,6.5012371521993755,6.7283284164944765,0.028229976883308788,0.011660933947021829,0.004951153728424558,0.026659790280951317,0.007152023501223943,0.004951153728424558
57,All Children 200,004,-11.7,-29.9,-14.6,-14.0,-38.7,-6.4,148118.0657334245,34677.09076351521,8386.161595880963,8.843172969710372,7.88182468511217,10.268198234722584,7.8067373758197665,5.528736575514957,8.770834360520311,0.02628107120128972,0.026038377290491025,0.026143051178832453,0.022603332514146812,0.015954779198961985,0.02445783517292248
58,All Children 200,005,-13.9,-32.3,-48.7,-7.8,-24.7,-48.0,137093.76127801463,28591.27074882543,6856.070026504057,6.907327344817545,7.655746509129966,6.304591265397537,5.945767343921506,5.1825993555316865,3.2362821948488247,0.021387289711251985,0.02156283566058002,0.011422172452407616,0.019718420286283907,0.016245972073039742,0.005935050391937291
59,All Children 200,009,-13.0,-26.0,-30.0,-1.5,-5.9,-8.9,151926.23747424368,35147.85986069961,8316.445336131641,7.369501824790927,7.75028352296996,4.412358325641194,6.411366700146612,5.734798914392617,3.0902201280090873,0.02071240779282876,0.014957874002814923,0.01038418566347218,0.020405303796385714,0.014075874600973823,0.009461698505003988
60,All Children 200,040,-9.6,-24.5,-16.6,-14.4,-38.9,-45.4,104197.73262145191,21160.71358460886,6593.244645583044,26.531356208717543,34.72289103148904,30.917200086729185,23.98812975130046,26.207569761818426,25.78842086351986,0.09657340946095563,0.11018875844582557,0.09174366764974483,0.08266204322187636,0.06735888413657279,0.050089121557969386
61,All Children 200,045,-10.1,-27.5,-3.4,-10.7,-34.1,-12.5,117771.95295508276,24269.640233569524,7359.356584450285,21.449398714101395,27.139301292682845,18.858675270130302,19.272697488618956,19.68898930249766,18.221869428325597,0.07887484779062597,0.07872543029387832,0.035990688801692934,0.07047041874792352,0.051871852738952735,0.03148689980784008
62,All Children 200,046,-10.8,-24.3,-15.3,-13.1,-30.0,-14.8,115319.12860217909,23573.20187336759,6814.72179616557,31.273729359061125,47.17596690787056,38.986071675837394,27.887116830245475,35.727373638647606,33.00472089816494,0.11424270600977039,0.14794950288152822,0.07215561810052457,0.09928787452456535,0.10355864917947898,0.06145497129468184
63,All Children 200,007,-7.7,-16.6,-3.9,-12.1,-44.1,-47.6,141761.4907281592,29232.372454450477,7020.847573886839,9.180863359940401,10.414080497025099,18.815802294184596,8.47701522491081,8.686584597547077,18.086988484866893,0.03085325836821983,0.025874805879260478,0.0594672776079181,0.027118305875675135,0.014476368130559462,0.0311346393069408
64,All Children 200,034,-10.2,-18.2,-22.3,-49.8,-87.6,-94.3,134751.91586952424,30031.386383115554,8292.506364727447,11.168883530696679,13.727408728660134,24.548181254778314,10.032230424383474,11.22990185848461,19.062560591843116,0.05505529534395442,0.08559065708391249,0.1558808879818773,0.02764701890887114,0.010635396744348529,0.008944620224684738
65,All Children 200,035,-6.0,-24.1,-14.5,-18.7,-17.5,0.0,138772.6739831373,29334.71766036067,7224.587102113348,8.213658250004679,5.41606447192078,6.98026998640133,7.720682185775768,4.113408551454055,5.9685573127698515,0.03378178652641121,0.025094309272937015,0.031039502656549065,0.027479824468227197,0.020701124037805944,0.031039502656549065
66,All Children 200,015,-13.2,-26.3,-30.3,-16.8,-53.4,-63.6,132970.1432124917,28885.262020136455,6484.895562572541,9.967103322512985,11.834006621129426,13.404743560291935,8.650428430202039,8.725301405251786,9.337155343874088,0.029812105707604182,0.02497062997753498,0.03488506446048574,0.024795493290941856,0.011643318027981435,0.012708182925544887
67,All Children 200,016,-6.9,-13.6,-50.0,-12.1,-40.1,-43.0,135523.97006429,28924.258288966797,6520.4750057160345,8.851974055490112,9.697845511194256,11.521594204421486,8.237991774664732,8.38350757590624,5.762286225689225,0.03170765285806048,0.026801317418289075,0.01388165877099014,0.027881359031465117,0.016044796648735326,0.007910058541099886
68,All Children 200,017,-12.4,-25.6,-33.0,-27.2,-76.2,-95.8,148403.13987533527,29756.94306138756,6457.733047595881,16.21691875547834,17.73666891885152,30.4620129954975,14.203336511959815,13.201329791655404,20.423845341823718,0.04344181844958863,0.04283617886540642,0.0567967816797042,0.03162487869227,0.010190115440438633,0.002413407856393309
69,All Children 200,018,-22.3,-30.3,-35.2,-24.6,-48.3,-59.7,141525.8510196117,33389.856048763984,10139.888772464239,17.741666391316887,22.6868537759755,27.844863864462226,13.780995998444537,15.808274919412726,18.03964233436457,0.04808267803824196,0.051418642786256574,0.027480587081879296,0.0362626371394312,0.026567425956320626,0.01106428318273273
70,All Children 200,019,-24.0,-31.3,-32.0,-27.6,-53.6,-69.0,150024.3023403057,36756.84048023443,11018.291570962498,18.448607318580173,23.878725618051984,31.942870421616977,14.021227866929964,16.40273089347306,21.711325158207494,0.04643480165995999,0.04891929809320609,0.03286792687894611,0.033600632267325056,0.02267910983513118,0.010199665971437474
71,All Children 200,039,-9.6,-13.1,-11.6,-12.6,-47.2,-39.6,125782.827895456,28604.806028785453,8018.627729403648,9.626540030318413,13.844869744267887,10.892420251753753,8.705280611222584,12.026421371188551,9.634269702924493,0.029765043614429377,0.022815792328386684,0.0598164587661648,0.02600334664916743,0.012037329883928126,0.036151163207429726
72,All Children 200,027,-13.2,-22.0,-39.1,-33.9,-70.0,-81.0,149478.66811975132,33012.956909311855,7724.560793892246,9.070221099683566,11.985250527332035,13.056209295263763,7.8725665320060605,9.346510551739664,7.955033538645904,0.031809498390508346,0.048409865443049815,0.041830587617565605,0.02103075600978621,0.01454132406006314,0.007961006833689619
73,All Children 200,029,-4.2,-5.4,-19.2,-41.0,-72.2,-85.6,145298.59229879008,33493.22789802034,7307.352894307185,8.495229388223377,11.412240454156624,9.659597219746924,8.142083114857687,10.79399642273894,7.806095170201388,0.0445331791679551,0.07875806827902637,0.07806095170201388,0.026270856021188768,0.021891282370324283,0.011227945107823916
74,All Children 200,014,-18.4,-32.8,-24.4,-9.8,-28.8,-44.7,141946.0474380321,34745.04826598392,8938.492689604362,11.097748013477153,13.733999978829733,21.21057977728223,9.056492691641111,9.234258331958243,16.043227383099797,0.03098600431633533,0.019416320192332644,0.02413085331737054,0.027935194762745003,0.013830814577280443,0.013337104018598113
75,All Children 200,020,-15.8,-32.9,-32.4,-12.0,-26.6,-19.3,141302.71815447757,32011.985805741428,10487.595621680797,18.061915420361878,19.341005283375043,20.633639299210834,15.204137370494744,12.974597670051832,13.958143798283643,0.05470714243952992,0.04303365127812781,0.024061060063026645,0.048123907871823135,0.03160679970042091,0.019428328920148005
76,All Children 200,003,-25.8,-51.9,-62.9,-8.7,-26.4,-41.6,140518.83013425834,30562.05982737942,8474.619413160095,11.005673178728506,13.211030239492704,14.637796378131599,8.166348197463828,6.350515851866434,5.431911632239611,0.031819954540972036,0.029769987708947933,0.02200441416173493,0.029067215155267046,0.021906843752830057,0.01285054006412482
77,All Children 200,010,-28.8,-44.0,-44.2,-30.3,-61.6,-100.0,130559.54700365491,29764.686280670492,8255.413412128444,15.177956915306048,16.71475138989402,16.478835386612538,10.801900651182047,9.359495780401373,9.198086716373469,0.034574072228122345,0.035910762460068024,0.013498999119886276,0.024089810611301967,0.01379699108940845,0.0
78,All Children 200,012,-20.6,-54.7,-76.8,-10.0,-29.6,0.0,130908.08116763597,30119.172576573583,8139.57585812543,9.125785759119509,9.124857113809952,10.981960187886273,7.250027627526539,4.137604966020818,2.5465894776857385,0.033265795596886576,0.01126651147198068,0.007040058455805326,0.02992862345748811,0.007928179804868754,0.007040058455805326
79,All Children 200,044,-16.4,-40.4,-53.3,-15.5,-40.6,-41.3,117785.24830688488,26235.511256030055,7311.2666970359005,15.558040335415374,18.568518845961655,21.859474884681493,13.00073241091074,11.058131162358027,10.207460013562814,0.054681020817840244,0.04028765240308778,0.026027590356995655,0.046214693787914776,0.023946953439408954,0.015270499926734465
80,All Children 200,006,-15.3,-23.2,-8.2,-16.7,-30.0,-11.4,125611.7874249458,26627.900369576055,6495.668314121458,15.173866692253684,14.15781584874165,9.59892051711722,12.853017971644759,10.875251852926525,8.814772554683117,0.05417839157404414,0.07383073456362595,0.0368880221750491,0.04514856453401522,0.05165924627398695,0.032699866035225976
81,All Children 200,008,-2.1,-1.7,0.0,-18.8,-82.4,-72.4,131122.27886295505,27579.985376932043,8905.386181606156,14.388254811159019,15.57067050759926,32.231368777499995,14.092232239376228,15.31016491757817,32.231368777499995,0.060281635284140496,0.04383401968539787,0.06947652882701924,0.048972642856450324,0.0077287400261833675,0.019142528872354448
